title,release_date,popularity,vote_average,runtime,genres,on_netflix
Three Wishes,1995-10-27,11.002046,6.1,115.0,"Drama, Fantasy",False
Total Eclipse,1995-11-02,4.546552,6.5,111.0,"Drama, Romance",False
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,7.653446,6.3,105.0,Comedy,True
Under Siege 2: Dark Territory,1995-07-13,7.490247,5.6,100.0,"Action, Thriller",False
Unstrung Heroes,1995-09-15,2.881689,6.4,93.0,"Comedy, Drama, Family",False
Unzipped,1995-08-11,0.786023,6.0,73.0,Documentary,False
A Walk in the Clouds,1995-08-11,9.715639,6.5,103.0,"Drama, Romance",False
Waterworld,1995-07-28,16.885184,5.9,135.0,"Adventure, Action",False
White Man's Burden,1995-12-01,1.834099,5.1,89.0,Drama,False
Wild Bill,1995-12-01,8.922139,5.9,98.0,"Action, Western",False
The Browning Version,1994-10-12,3.727644,6.0,97.0,Drama,False
Bushwhacked,1995-08-04,3.287036,4.9,90.0,"Adventure, Action, Comedy, Crime, Family",False
Burnt by the Sun,1994-05-01,2.486073,6.7,135.0,Drama,False
Before the Rain,1994-06-09,3.525649,7.7,113.0,"Drama, War",False
Before Sunrise,1995-01-27,11.304979,7.7,105.0,"Drama, Romance",False
Billy Madison,1995-02-10,6.638116,6.2,89.0,Comedy,False
The Babysitter,1995-10-17,2.761837,4.7,90.0,"Drama, Thriller",True
Boys on the Side,1995-02-03,3.030309,6.3,115.0,"Comedy, Drama",False
The Cure,1995-04-21,2.686342,7.2,97.0,"Drama, Family",False
Castle Freak,1995-08-04,2.26977,5.8,95.0,"Thriller, Drama, Horror, Mystery",False
Circle of Friends,1995-03-16,2.605521,6.5,103.0,"Drama, Family, Romance",False
Clerks,1994-09-13,10.513367,7.4,92.0,Comedy,False
Don Juan DeMarco,1994-10-01,7.438934,6.3,97.0,"Romance, Drama, Comedy",False
Disclosure,1994-12-09,11.812244,5.9,123.0,"Drama, Thriller, Crime, Mystery, Romance",True
Dream Man,1995-01-01,0.155859,2.5,0.0,Thriller,False
Drop Zone,1994-12-08,9.579155,5.1,101.0,"Action, Adventure, Thriller",False
Destiny Turns on the Radio,1995-04-28,0.710671,5.3,0.0,"Crime, Comedy, Fantasy",False
Death and the Maiden,1994-05-04,5.484156,7.1,103.0,"Drama, Thriller, Mystery",False
Dolores Claiborne,1995-03-24,5.8025,7.1,132.0,"Crime, Drama, Mystery",False
Dumb and Dumber,1994-12-16,9.844558,6.5,107.0,Comedy,False
Eat Drink Man Woman,1994-08-03,4.860016,7.5,123.0,"Comedy, Drama, Romance",False
Exotica,1994-09-24,5.378467,6.5,103.0,"Drama, Mystery",False
Exit to Eden,1994-10-14,4.322726,4.3,113.0,"Thriller, Comedy, Crime, Romance",False
Ed Wood,1994-09-27,11.720358,7.3,127.0,"Comedy, Drama, History",False
French Kiss,1995-05-05,9.146544,6.2,111.0,"Comedy, Romance",False
Forget Paris,1995-05-19,16.236745,6.1,101.0,"Comedy, Drama, Romance",False
Far from Home: The Adventures of Yellow Dog,1995-01-13,2.657337,5.6,87.0,"Action, Adventure, Drama, Family",False
A Goofy Movie,1995-04-07,10.177977,6.7,78.0,"Romance, Animation, Family, Comedy, Adventure",False
Hideaway,1995-03-03,8.182165,5.0,103.0,"Drama, Thriller",False
Fluke,1995-06-02,4.953936,6.6,96.0,"Drama, Family, Fantasy",False
Farinelli,1994-12-07,8.935058,5.9,111.0,"History, Drama",False
Gordy,1995-05-12,0.398924,3.0,90.0,"Drama, Family, Fantasy",False
Gumby: The Movie,1995-12-01,0.090452,5.0,77.0,"Fantasy, Animation, Science Fiction, Family",False
The Glass Shield,1994-09-16,1.012197,5.4,109.0,"Drama, Action, Thriller, Crime",False
Hoop Dreams,1994-09-12,9.47666,7.7,171.0,Documentary,False
Heavenly Creatures,1994-09-02,9.438042,6.9,99.0,"Drama, Fantasy",False
Houseguest,1995-01-06,2.688562,6.0,113.0,"Comedy, Family",False
Immortal Beloved,1994-12-16,7.983666,6.9,121.0,"Drama, Music, Romance",False
Heavyweights,1995-02-17,9.546707,6.0,100.0,"Comedy, Family, Drama",False
The Hunted,1995-02-24,2.756986,6.0,106.0,"Action, Thriller",False
I.Q.,1994-12-24,5.146352,5.9,100.0,"Comedy, Drama, Romance",False
Interview with the Vampire,1994-11-11,11.970205,7.2,123.0,"Horror, Romance",False
Jefferson in Paris,1995-03-31,1.596058,5.2,139.0,"Drama, Romance",False
The Jerky Boys,1995-02-03,0.748846,4.8,82.0,"Comedy, Crime",False
Junior,1994-11-22,6.710215,4.7,109.0,"Comedy, Family, Romance",False
Just Cause,1995-02-17,9.195256,6.0,102.0,"Action, Drama, Mystery, Thriller",False
A Kid in King Arthur's Court,1995-08-11,5.874511,4.3,89.0,"Adventure, Fantasy, Comedy, Science Fiction, Family",False
Kiss of Death,1995-04-21,7.797512,5.7,101.0,"Action, Crime, Drama, Thriller",False
Star Wars,1977-05-25,42.149697,8.1,121.0,"Adventure, Action, Science Fiction",False
Little Women,1994-12-21,9.774994,7.0,115.0,"Drama, Romance",False
A Little Princess,1995-05-10,7.731725,7.4,97.0,"Drama, Family, Fantasy",False
Ladybird Ladybird,1994-02-18,0.84508,7.4,101.0,Drama,False
L'Enfer,1994-02-16,1.948315,6.6,100.0,"Crime, Drama",False
Like Water for Chocolate,1992-04-16,4.126083,6.6,105.0,"Drama, Romance",True
Legends of the Fall,1994-12-16,12.199047,7.2,133.0,"Adventure, Drama, Romance, War",False
Major Payne,1995-03-24,9.253362,6.1,95.0,"Adventure, Comedy, Family",True
Little Odessa,1994-10-27,1.861292,6.4,98.0,"Action, Drama",False
Mi Vida Loca,1994-06-08,1.788829,5.7,92.0,"Crime, Drama",False
Love Affair,1994-10-21,3.290192,4.3,108.0,"Drama, Romance",False
